Title,URL,PublishedAt,description
IPL 2024: #39;Bade Miyan Chote Miyan#39; actors Akshay Kumar and Tiger Shroff predict these teams will make into playoffs,https://www.moneycontrol.com/entertainment/movies/ipl-2024-bade-miyan-chote-miyan-actors-akshay-kumar-and-tiger-shroff-predict-these-teams-will-make-into-playoffs-article-12598881.html,2024-04-08T09:47:33Z,"The 17th season of the IPL is proving to be as unpredictable and thrilling as ever. With the league still wide open, Bollywood actors Akshay Kumar and Tiger Shroff#39;s predictions add an interesting twist to the ongoing speculations."
Watch - 'Individual performances don't matter': Rohit Sharma after Mumbai Indians win against Delhi Capitals,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/watch-individual-performances-dont-matter-rohit-sharma-after-mumbai-indians-win-against-delhi-capitals/articleshow/109129771.cms,2024-04-08T09:13:44Z,"Mumbai Indians secured victory against Delhi Capitals at Wankhede Stadium in IPL 2024. Rohit Sharma excelled with 49 runs, praised as senior statesman for focusing on team goals over individual performances. Rohit hit 3 sixes and 6 fours in his knock and sure…"
"CSK vs KKR IPL 2024 Match today: Pitch report, playing XI & weather prediction, head-to-head record",https://economictimes.indiatimes.com/news/sports/ipl-2024-csk-vs-kkr-pitch-report-ma-chidambaram-stadium-today-match-chennai-super-kings-kolkata-knight-riders-dream-11-predictions-ruturaj-gaikwad-shreyad-iyer-runku-singh/articleshow/109126941.cms,2024-04-08T08:07:20Z,"CSK vs KKR Pitch Report, IPL 2024: Ruturaj Gaikwad's Chennai Super Kings face Shreyas Iyer's Kolkata Knight Riders in IPL Match 22. CSK seeks redemption after two consecutive losses, while unbeaten KKR aims to extend their winning streak. Key players to watch…"
Cognizant eyes Indian sports leagues after debut sponsorship in US Major League Cricket,https://www.moneycontrol.com/news/technology/cognizant-eyes-indian-sports-leagues-after-debut-sponsorship-in-us-major-league-cricket-12595551.html,2024-04-08T06:52:17Z,"The IT company which has golf, car racing in its sports sponsorship portfolio has made its debut in cricket. It spends less than 20 percent of its marketing spends on sports sponsorship."
Drake offers to pay for fan's divorce proceedings mid-concert,https://timesofindia.indiatimes.com/entertainment/english/music/news/drake-offers-to-pay-for-fans-divorce-proceedings-mid-concert/articleshow/109124132.cms,2024-04-08T06:39:03Z,"During his recent It's All a Blur Tour stop, rapper Drake showed his generosity by offering to cover a fan's legal fees for a divorce. Videos from the concert surfaced online, capturing Drake's promise to help the fan transition into single life. This isn't t…"
"Kolkata to make a debut at Tomorrowland, Belgium",https://timesofindia.indiatimes.com/life-style/spotlight/kolkata-to-make-a-debut-at-tomorrowland-belgium/articleshow/109124090.cms,2024-04-08T06:37:07Z,Kolkata based 25-year-old musician Kaushik Das also known as DJ Roop is all set to become the only Indian this year and first musician from West Benga.
"Huma Qureshi drops childhood pictures with her ""cartoon"" brother Saqib Saleem",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/huma-qureshi-drops-childhood-pictures-with-her-cartoon-brother-saqib-saleem/articleshow/109123928.cms,2024-04-08T06:35:58Z,"Today marks actor Saqib Saleem's birthday, and his sister Huma Qureshi made the occasion extra special with an endearing Instagram post. Sharing their childhood memories, Huma expressed her love for her brother, referring to him as her ""cartoon."" The siblings…"
"Jelly Roll, Lainey Wilson and other record-breaking artists shine at the 2024 CMT Music Awards",https://timesofindia.indiatimes.com/entertainment/english/music/news/jelly-roll-lainey-wilson-and-other-record-breaking-artists-shine-at-the-2024-cmt-music-awards/articleshow/109123764.cms,2024-04-08T06:26:34Z,"Jelly Roll shines once again at the 2024 CMT Music Awards, securing three top honors for his hit track ""Need a Favor."" Hosted by Kelsea Ballerini, the event in Austin, Texas, witnessed Jelly Roll's consecutive triumph, as his song dominated categories like Vi…"
I'm excited for my Tamil debut with Vijay Antony's Valli Mayil: Faria Abdullah,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/im-excited-for-my-tamil-debut-with-vijay-antonys-valli-mayil-faria-abdullah/articleshow/109105500.cms,2024-04-08T06:22:15Z,"Faria Abdullah, in an interview with Hyderabad Times, recalls her journey to become an actor, opens up about her physical transformation and upcoming projects."
IPL 2024: Lizaad Williams joins Delhi Capitals as replacement for Harry Brook,https://economictimes.indiatimes.com/news/sports/ipl-2024-lizaad-williams-joins-delhi-capitals-as-replacement-for-harry-brook/articleshow/109123077.cms,2024-04-08T06:05:17Z,"Lizaad Williams joins Delhi Capitals in IPL 2024, replacing Harry Brook who withdrew post grandmother's demise. Williams, a South African bowler, comes in for Rs 50 lakh. Brook, signed for Rs 4 crore, withdrew after his record 55-ball hundred in the UAE."
